read
loading data
sizes
turbine8
sizes
sizes
sizes
sizes
hub9
9
9
9
9
9
9
9
9
9
read end
22:34:40.524 [main        ] DEBUG     LS step (18), time spent (45), score (-105hard/-1182soft),     best score (-96hard/-1182soft), accepted/selected move count (1/2), picked move (Turbine-36 {VESSEL} <-> Turbine37 {VESSEL}).
22:34:40.524 [main        ] DEBUG     LS step (19), time spent (45), score (-106hard/-1055soft),     best score (-96hard/-1182soft), accepted/selected move count (1/2), picked move (Turbine95 {VESSEL -> VESSEL}).
22:34:40.524 [main        ] DEBUG     LS step (20), time spent (45), score (-110hard/-1069soft),     best score (-96hard/-1182soft), accepted/selected move count (1/1), picked move (Turbine-71 {Turbine-36 -> Turbine37}).
22:34:40.525 [main        ] DEBUG     LS step (21), time spent (46), score (-110hard/-1069soft),     best score (-96hard/-1182soft), accepted/selected move count (1/1), picked move (Turbine-71 {Turbine37 -> VESSEL}).
22:34:40.525 [main        ] DEBUG     LS step (22), time spent (46), score (-110hard/-1069soft),     best score (-96hard/-1182soft), accepted/selected move count (1/1), picked move (Turbine-88 {Turbine95} <-> Turbine37 {VESSEL}).
22:34:40.525 [main        ] DEBUG     LS step (23), time spent (46), score (-110hard/-1115soft),     best score (-96hard/-1182soft), accepted/selected move count (1/2), picked move (Turbine-88 {VESSEL} <-> Turbine26 {Turbine-71}).
22:34:40.525 [main        ] DEBUG     LS step (24), time spent (46), score (-111hard/-1115soft),     best score (-96hard/-1182soft), accepted/selected move count (1/1), picked move (Turbine95 {VESSEL} <-> Turbine-71 {VESSEL}).
22:34:40.526 [main        ] DEBUG     LS step (25), time spent (47), score (-110hard/-1069soft),     best score (-96hard/-1182soft), accepted/selected move count (1/1), picked move (Turbine26 {VESSEL} <-> Turbine-88 {Turbine95}).
22:34:40.526 [main        ] DEBUG     LS step (26), time spent (47), score (-110hard/-1085soft),     best score (-96hard/-1182soft), accepted/selected move count (1/1), picked move (Turbine37 {Turbine-71} <-> Turbine95 {Turbine-88}).
22:34:40.526 [main        ] DEBUG     LS step (27), time spent (47), score (-106hard/-1085soft),     best score (-96hard/-1182soft), accepted/selected move count (1/3), picked move (Turbine37 {Turbine-88} <-> Turbine-36 {VESSEL}).
22:34:40.527 [main        ] DEBUG     LS step (28), time spent (48), score (-106hard/-1082soft),     best score (-96hard/-1182soft), accepted/selected move count (1/4), picked move (Turbine-88 {VESSEL} <-> Turbine-36 {Turbine-88}).
22:34:40.527 [main        ] DEBUG     LS step (29), time spent (48), score (-112hard/-1117soft),     best score (-96hard/-1182soft), accepted/selected move count (1/1), picked move (Turbine-71 {VESSEL} <-> Turbine26 {Turbine95}).
22:34:40.528 [main        ] DEBUG     LS step (30), time spent (49), score (-112hard/-1117soft),     best score (-96hard/-1182soft), accepted/selected move count (1/5), picked move (Turbine37 {VESSEL} <-> Turbine-88 {Turbine-36}).
22:34:40.528 [main        ] DEBUG     LS step (31), time spent (49), score (-112hard/-1157soft),     best score (-96hard/-1182soft), accepted/selected move count (1/2), picked move (Turbine95 {VESSEL -> Turbine-71}).
22:34:40.528 [main        ] DEBUG     LS step (32), time spent (49), score (-112hard/-1157soft),     best score (-96hard/-1182soft), accepted/selected move count (1/4), picked move (Turbine26 {VESSEL} <-> Turbine-36 {VESSEL}).
22:34:40.529 [main        ] INFO  Local Search phase (1) ended: time spent (50), best score (-96hard/-1182soft), score calculation speed (3687/sec), step total (33).
22:34:40.529 [main        ] INFO  Solving ended: time spent (50), best score (-96hard/-1182soft), score calculation speed (2580/sec), phase total (2), environment mode (REPRODUCIBLE).
